,age,avg_time,category,geek_rating,id,max_players,mechanic,min_players,name,rank,rating_count,weight,year
2121,12,45,"['Card Game', 'City Building', 'Mafia']",7.03452,180256,2,"['Area Control / Area Influence', 'Set Collection', 'Simultaneous Action Selection', 'Take That', 'Variable Player Powers']",2,It's Mine,5947.0,2,2.0,2015
2122,12,45,[],4.69243,231939,6,"['Cooperative Play', 'Dice Rolling']",2,The Oregon Trail: Hunt for Food Card Game,16722.0,1,1.0,2017
2123,9,60,"['Card Game', 'Humor']",6.8042300000000004,216578,7,"['Set Collection', 'Simultaneous Action Selection', 'Trick-taking']",2,Half-Pint Heroes,3446.0,10,1.9,2017
2124,7,40,['Expansion for Base-game'],7.2241800000000005,194024,6,"['Dice Rolling', 'Tile Placement']",2,Carcassonne: Star Wars – Erweiterung 1,,1,2.0,2016
2125,12,90,"['Card Game', 'Dice', 'Environmental']",7.3265,257077,4,"['Auction/Bidding', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Route/Network Building', 'Set Collection', 'Worker Placement']",2,A Pleasant Journey to Neko,5356.0,12,3.0833,2018
2126,10,60,"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",6.00857,184337,5,"['Area Control / Area Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']",2,Risk: Marvel Cinematic Universe,12884.0,1,2.0,2015
2127,13,45,"['Adventure', 'Fantasy', 'Miniatures']",7.30627,241334,4,"['Action Point Allowance System', 'Area Control / Area Influence', 'Deck / Pool Building', 'Hand Management']",1,Dwar7s Winter,5604.0,5,2.6,2018
2128,8,40,"['Ancient', 'Dice', 'Novel-based']",5.6055,247324,4,"['Dice Rolling', 'Hand Management', 'Worker Placement']",2,Atlandice,13022.0,5,1.6,2018
2129,14,180,"['Wargame', 'World War II']",7.3125,145549,1,[],1,Islands of the Damned: Wake Island and Peleliu,7865.0,10,1.9,2015
2130,14,90,"['Expansion for Base-game', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']",7.719869999999999,175214,5,"['Dice Rolling', 'Grid Movement', 'Modular Board', 'Partnerships', 'Role Playing']",2,Star Wars: Imperial Assault – Kayn Somos Villain Pack,,8,2.875,2015
2131,8,60,['Medieval'],6.35745,175864,4,"['Memory', 'Secret Unit Deployment']",2,Stratego Conquest,11100.0,2,2.0,2015
2132,8,30,"['Animals', 'Card Game']",5.89251,187515,6,"['Set Collection', 'Voting']",3,Zooscape,8689.0,6,1.1667,2015
2133,12,60,"['Card Game', 'Science Fiction', 'Space Exploration']",7.660710000000001,216630,4,['Hand Management'],1,Traveller Customizable Card Game: Two Player Starter Set,8129.0,5,3.4,2017
2134,14,90,"['Animals', 'Educational', 'Territory Building']",6.3314,237229,6,"['Area Control / Area Influence', 'Worker Placement']",3,Roar: King of the Pride,9475.0,2,2.0,2018
2135,10,45,"['Fighting', 'Miniatures', 'Science Fiction']",7.01823,211454,4,"['Action / Movement Programming', 'Grid Movement', 'Simultaneous Action Selection', 'Variable Player Powers']",2,VOLT,6721.0,2,2.0,2018
2136,10,45,"['Card Game', 'Video Game Theme']",7.35712,212580,2,"['Hand Management', 'Variable Player Powers']",2,Mega Man Pixel Tactics: Mega Man Blue,4302.0,4,2.75,2017
2137,12,40,"['Print & Play', 'Science Fiction', 'Wargame']",7.846430000000001,198541,1,"['Dice Rolling', 'Paper-and-Pencil', 'Time Track', 'Variable Phase Order']",1,Paper 'Mech,,2,2.0,2016
2138,14,30,"['Ancient', 'Card Game', 'Wargame']",6.948230000000001,148330,4,"['Action Point Allowance System', 'Card Drafting', 'Deck / Pool Building', 'Hand Management', 'Simulation', 'Variable Player Powers']",2,Burning Rome,9733.0,3,1.6667,2018
2139,12,120,"['Economic', 'Environmental', 'Expansion for Base-game', 'Industry / Manufacturing', 'Science Fiction', 'Territory Building']",7.8547199999999995,226297,5,"['Card Drafting', 'Hand Management', 'Tile Placement', 'Variable Player Powers']",1,Terraforming Mars: Snow Algae Promo Card,,11,3.0,2017
2140,18,0,"['Humor', 'Mature / Adult', 'Party Game', 'Puzzle']",4.97167,204069,0,"['Acting', 'Line Drawing', 'Singing']",3,Cranium Dark,15413.0,1,1.0,2016
2141,14,20,"['Bluffing', 'Card Game', 'Deduction', 'Expansion for Base-game', 'Party Game', 'Political']",7.44952,186524,10,"['Memory', 'Player Elimination', 'Take That', 'Variable Player Powers']",2,Coup: Jester and Bureaucrat Promos,,2,1.0,2015
2142,10,90,"['Card Game', 'Exploration', 'Puzzle', 'Real-time']",7.66325,254226,6,"['Cooperative Play', 'Storytelling']",1,Unlock! Exotic Adventures,,5,2.8,2018
2143,14,240,"['Economic', 'Modern Warfare', 'Political', 'Print & Play', 'Wargame']",7.2,180284,4,"['Area Control / Area Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Variable Player Powers']",1,"Cuba Libre: Invierno Cubano – Castro's Counterinsurgency, 1959-1965",,1,2.0,2019
2144,8,30,"[""Children's Game"", 'Dice']",6.63128,178839,2,"['Dice Rolling', 'Set Collection', 'Variable Player Powers']",2,Foodfighters,5776.0,7,1.1429,2015
2145,10,30,"['Card Game', 'Fantasy', 'Fighting', 'Horror']",6.624969999999999,177542,2,"['Deck / Pool Building', 'Hand Management', 'Variable Player Powers']",2,Shuffle Heroes,6348.0,11,2.0909,2015
2146,14,60,['Farming'],6.61764,193248,4,"['Action Point Allowance System', 'Area Control / Area Influence']",2,Get Off My Land!,6938.0,6,2.6667,2017
2147,14,75,"['Card Game', 'Space Exploration']",4.80545,186208,4,"['Auction/Bidding', 'Card Drafting', 'Hand Management']",2,Project Mars,15460.0,3,2.0,2016
2148,12,60,"['Bluffing', 'Card Game', 'Negotiation', 'Political']",6.663689999999999,192777,6,"['Hand Management', 'Secret Unit Deployment', 'Simulation', 'Simultaneous Action Selection', 'Take That', 'Voting']",3,Junta: Las Cartas,6133.0,5,2.2,2016
2149,10,30,"['Card Game', 'Fantasy', 'Fighting', 'Real-time', 'Video Game Theme', 'Word Game']",6.42681,153745,6,['Hand Management'],2,Dungeon Scroll,9392.0,5,1.8,2016
2150,10,30,"['Card Game', 'Comic Book / Strip', 'Horror', 'Zombies']",6.07978,176433,2,['Action Point Allowance System'],2,Zombies vs Cheerleaders,9785.0,5,1.4,2015
2151,10,120,"['Adventure', 'Dice', 'Fantasy', 'Miniatures']",9.2,219783,4,['Cooperative Play'],2,MourneQuest,,1,2.0,2019
2152,7,20,"['Animals', 'Card Game', 'Humor', 'Party Game']",6.06926,246759,10,"['Hand Management', 'Partnerships', 'Set Collection', 'Simultaneous Action Selection', 'Take That']",4,You've Got Crabs,8740.0,5,1.2,2018
