,rank,id,name,age,avg_time,min_players,max_players,mechanic,category,weight,year,geek,avg,num_rev
2719,,220186,Mottainai: Wutai Mountain,0,0,2,5,"['Card Drafting', 'Hand Management', 'Set Collection']","['Card Game', 'Expansion for Base-game']",4.0,2018,5.567,7.5,44.0
2720,7728.0,183405,Ember: the Magical Card Game,12,30,2,5,"['Memory', 'Take That']","['Card Game', 'Fantasy']",1.5,2016,5.569,7.01,107.0
2721,14317.0,185104,Monopoly: Game of Thrones Collector's Edition,18,180,2,6,"['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']","['Economic', 'Movies / TV / Radio theme', 'Negotiation']",1.4286,2015,5.497000000000001,5.65,217.0
2722,4500.0,217423,Cosmic Run: Rapid Fire,8,30,1,2,"['Dice Rolling', 'Paper-and-Pencil', 'Take That']","['Dice', 'Racing', 'Science Fiction', 'Space Exploration']",2.0,2017,5.686,6.97,181.0
2723,,195397,Thunder Alley: Crew Chief Expansion,14,90,2,8,[],"['Expansion for Base-game', 'Racing']",1.0,2016,5.606,8.01,55.0
2724,6733.0,193193,Watchmen of Destiny,10,45,2,4,"['Card Drafting', 'Hand Management', 'Variable Phase Order']",['Card Game'],1.7143,2016,5.5920000000000005,6.3,202.0
2725,,177567,More Kittens in a Blender,10,0,2,6,"['Hand Management', 'Rock-Paper-Scissors']","['Animals', 'Card Game', 'Humor']",1.4,2015,5.598,6.44,184.0
2726,,176617,Shipwrights of the North Sea: The Townsfolk Expansion,10,80,2,5,"['Card Drafting', 'Commodity Speculation', 'Hand Management', 'Trading', 'Worker Placement']","['Expansion for Base-game', 'Medieval', 'Nautical']",2.5,2015,5.815,7.43,250.0
2727,,197790,Vinyl,10,75,1,5,"['Hand Management', 'Set Collection']",['Music'],3.0,2018,,8.64,11.0
2728,5299.0,181807,Dragon Rampant: Fantasy Wargaming Rules,0,60,2,0,"['Dice Rolling', 'Variable Player Powers']","['Book', 'Fantasy', 'Miniatures', 'Wargame']",1.8333,2015,5.643,8.04,82.0
2729,,17183,1001,12,60,2,4,"['Auction/Bidding', 'Trick-taking']",['Card Game'],2.0,1900,5.519,6.34,44.0
